Item,Departamento,Municipio,Distancia_Min,Distancia_Media,Distancia_Max
1,CAQUETÁ,FLORENCIA,1.4952661667168181,3.692682197655453,4.674534268898524
2,TOLIMA,LÍBANO,3.328093132688016,7.8283109785317135,12.717168139224048
3,HUILA,AGRADO,0.27992164807937,2.1944655026622897,4.517803242890527
4,BOYACÁ,VILLA DE LEYVA,2.3577543837012187,9.090356211090372,15.705646159812149
5,CUNDINAMARCA,BELTRÁN,7.070268209669911,11.56203244648853,14.4570355295669
6,META,VISTAHERMOSA,0.12176518640562352,13.65690277103008,22.64296688677819
7,NORTE DE SANTANDER,TIBÚ,0.6745422350258723,1.8900645703231347,7.358705952657085
8,SANTANDER,BARRANCABERMEJA,0.86832809153453,2.389580314875592,3.89527373899407
9,ARAUCA,ARAUQUITA,0.24355162490439877,6.75127045064397,8.41002467214591
10,CESAR,EL PASO,0.19411412778670376,0.8952215823258001,1.259509365759448
11,LA GUAJIRA,RIOHACHA,1.5821858195372183,5.010307549651794,6.977388647001575
12,LA GUAJIRA,RIOHACHA,5.326332430985444,6.435446052443932,7.586901293984457
13,LA GUAJIRA,RIOHACHA,1.6800352469402855,5.100160777648088,7.037223479784682
14,MAGDALENA,EL BANCO,1.686124787426714,4.8397668589680745,6.092857154039249
15,BOLÍVAR,CARTAGENA DE INDIAS,1.5962776985373408,3.178591576925569,4.138632813528637
