ID,Nombre de la comunidad,Priori_500,Justifi_Prio_500,Priori_1000,Priorizadas,Cod_DANE_Dep,Departamento,Cod_DANE_Mun,Municipio,Región geográfica,18.¿Cúantas viviendas hay en su comunidad?,Inversión Estimada,Potencia Estimada kWp,x,y
17674,ASOCIACION .FAMILIAR CAMPESINA ETNICA AGRICOLA ,SI,ART-OXI,NO,SI,20,CESAR,20045,BECERRIL,CARIBE,14,972000000,20,-73.2525052224,9.72773293903
17675,JUNTA DE ACCION COMUNAL VEREDA SANTA PAULA,NO,N.A,NO,NO,23,CÓRDOBA,23001,MONTERÍA,CARIBE,180,3380000000,300,-76.03028,8.68143
17676,JUNTA DE ACCION COMUNAL  BARRIO SAN MARTIN,NO,N.A,NO,NO,47,MAGDALENA,47555,PLATO,CARIBE,,338000000,30,-74.7787399,9.7962328
17677,JUNTA DE ACCION COMUNAL VEREDA NUEVA AVENTURA,SI,Corredor de la Vida,NO,SI,20,CESAR,20013,AGUSTÍN CODAZZI,CARIBE,20,972000000,20,-73.2608699999999,9.83276
17678,ASOCIACION DE VICTIMAS CAMPECINAS BECERRIL SIN TIERRA   ASOVICABEST ,NO,N.A,NO,NO,20,CESAR,20045,BECERRIL,CARIBE,,338000000,30,-73.2525052224,9.72773293903
17679,RESGUARDO INDIGENA CAIMAN NUEVO,NO,N.A,NO,NO,5,ANTIOQUIA,5490,NECOCLÍ,ANDINA,227,4056000000,360,-76.7582148999999,8.36488909999999
17681,ASOCIACION COSIENDO VIDAS MUJERES TEJEDORAS DE PAZ DEL CATATUMBO,NO,N.A,NO,NO,54,NORTE DE SANTANDER,54810,TIBÚ,ANDINA,,338000000,30,-72.796679979,8.71264458199999
17682,JUNTA DE ACCION COMUNAL SAN MARTIN ,NO,N.A,NO,NO,47,MAGDALENA,47555,PLATO,CARIBE,,338000000,30,-74.7787675,9.79634639999999
17683,ASOCIACION DE MUJERES EMPREDEDORAS DE CAMPO DOS ADMEC2,NO,N.A,NO,NO,54,NORTE DE SANTANDER,54810,TIBÚ,ANDINA,,338000000,30,-72.796679979,8.71264458199999
17684,CORPORACION DE ACCION SOCIAL Y DE VIVIENDA POPULAR IBAGUERENA CORASVIP,NO,N.A,NO,NO,73,TOLIMA,73001,IBAGUE,ANDINA,,338000000,30,-75.192133919,4.431459345
17685,ASOCIACION DE CAMPECINOS DEL BARRIO NELSON MANDELA ,SI,Gobierno con el Pueblo,NO,SI,13,BOLÍVAR,13001,CARTAGENA,CARIBE,6000,1800000000,90,-75.4751124999999,10.3628149
17686,ASOMCANP ASOSIACION DE MUJERE CAMPESINAS,NO,N.A,NO,NO,23,CÓRDOBA,23001,MONTERÍA,CARIBE,70001,4135384615,1120,-75.89332,8.57835
17687,ASOCIACION DE PRODUCTORES AGROECOLOGICOS DE CAMPO DOS APACDOS,NO,N.A,NO,NO,54,NORTE DE SANTANDER,54810,TIBÚ,ANDINA,,338000000,30,-72.796679979,8.71264458199999
17690,MUJERES AHORRADORAS EL SAZON BADILLERO COMUNIDAD NEGRA DE BADILLO ,NO,N.A,NO,NO,20,CESAR,20001,VALLEDUPAR,CARIBE,270,4732000000,420,-73.1277,10.63052
17691,JAC SAN JOSE DE LOS CAMPANOS SECTOR ALTO ,NO,N.A,NO,NO,13,BOLÍVAR,13001,CARTAGENA,CARIBE,,338000000,30,-75.459481941,10.3838930049999
17692,JAC BARRIO PLAYAS BLANCAS ,NO,N.A,NO,NO,13,BOLÍVAR,13001,CARTAGENA,CARIBE,1190,1800000000,90,-75.4789145999999,10.4077877
17693,COMUNIDAD CABILDO SAN JOSE,NO,N.A,NO,NO,86,PUTUMAYO,86569,PUERTO CAICEDO,AMAZÓNICA,,972000000,20,-76.4809940512,0.72507122985
17694,VEREDA ALTA FLORESTA ,NO,N.A,NO,NO,86,PUTUMAYO,86757,SAN MIGUEL,AMAZÓNICA,,338000000,30,-76.9092133999999,0.295258
17695,ASOMCANP,NO,N.A,NO,NO,23,CÓRDOBA,23001,MONTERÍA,CARIBE,,338000000,30,-75.9505305077999,8.58468573955
17696,CENTRO EDUCATIVO SAN AGUSTIN,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,,338000000,30,-74.8692099,9.94080499999999
17697,INSTITUCION EDUCATIVA SAN CAYETANO,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,45,1200000000,60,-75.1387,10.0827899999999
17698,INSTITUCION EDUCATIVA SAN PEDRO DESCONSOLADO,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,,338000000,30,-75.0467,10.01056
